Tier Josh,Josh,Tier Brandon,Brandon,Tight Ends,Team,Bye,Computer,Tight Ends,Team
1,1,1,1,Travis Kelce,KC,,1,Travis Kelce,KC
1,2,1,2,George Kittle,SF,,2,George Kittle,SF
1,3,1,3,Mark Andrews,BAL,,3,Mark Andrews,BAL
1,4,1,4,Zach Ertz,PHI,,4,Zach Ertz,PHI
2,5,2,7,Evan Engram,NYG,,7,Evan Engram,NYG
2,6,2,6,Hunter Henry,LAC,,6,Hunter Henry,LAC
2,7,2,9,Jared Cook,NO,,9,Jared Cook,NO
3,8,3,12,Mike Gesicki,MIA,,14,Mike Gesicki,MIA
3,9,3,11,Austin Hooper,CLE,,11,Austin Hooper,CLE
3,10,2,5,Darren Waller,LV,,5,Darren Waller,LV
2,11,2,8,Tyler Higbee,LAR,,8,Tyler Higbee,LAR
3,12,4,17,Noah Fant,DEN,,12,Noah Fant,DEN
3,13,3,13,Dallas Goedert,PHI,,13,Dallas Goedert,PHI
3,14,3,10,Rob Gronkowski,TB,,10,Rob Gronkowski,TB
3,15,4,18,Hayden Hurst,ATL,,18,Hayden Hurst,ATL
4,16,4,21,Ian Thomas,CAR,,21,Ian Thomas,CAR
4,17,4,19,Jack Doyle,IND,,17,Jack Doyle,IND
4,19,3,15,T.J. Hockenson,DET,,15,T.J. Hockenson,DET
4,18,4,20,Eric Ebron,PIT,,19,Eric Ebron,PIT
4,20,,,Trey Burton,IND,,37,Trey Burton,IND
4,21,3,14,Blake Jarwin,DAL,,20,Blake Jarwin,DAL
4,22,3,16,Jonnu Smith,TEN,,16,Jonnu Smith,TEN
4,23,4,22,Chris Herndon IV,NYJ,,22,Chris Herndon IV,NYJ
4,24,5,30,Jace Sternberger,GB,,30,Jace Sternberger,GB
4,25,4,24,Greg Olsen,SEA,,24,Greg Olsen,SEA
4,26,4,25,Irv Smith Jr.,MIN,,25,Irv Smith Jr.,MIN
4,27,4,26,Kyle Rudolph,MIN,,26,Kyle Rudolph,MIN
4,28,4,27,Dawson Knox,BUF,,27,Dawson Knox,BUF
5,29,5,28,David Njoku,CLE,,28,David Njoku,CLE
5,30,5,29,Jimmy Graham,CHI,,29,Jimmy Graham,CHI
5,31,4,23,O.J. Howard,TB,,23,O.J. Howard,TB
5,32,5,31,Will Dissly,SEA,,31,Will Dissly,SEA
5,33,5,32,Gerald Everett,LAR,,32,Gerald Everett,LAR
5,34,5,33,Vance McDonald,PIT,,33,Vance McDonald,PIT
5,35,5,34,Cameron Brate,TB,,34,Cameron Brate,TB
5,36,,,Jacob Hollister,SEA,,35,Jacob Hollister,SEA
6,37,,,Tyler Eifert,JAC,,36,Tyler Eifert,JAC
6,38,,,Jordan Akins,HOU,,38,Jordan Akins,HOU
6,39,,,Delanie Walker,FA,,39,Delanie Walker,FA
6,40,,,Cole Kmet,CHI,,40,Cole Kmet,CHI
6,41,,,Darren Fells,HOU,,41,Darren Fells,HOU
6,42,,,Josh Oliver,JAC,,,,
6,43,,,C.J. Uzomah,CIN,,,,
6,44,,,Adam Trautman,NO,,,,
6,45,,,Jason Witten,LV,,,,
7,46,,,Devin Asiasi,NE,,,,
7,47,,,Ryan Griffin,NYJ,,,,
7,48,,,Nick Boyle,BAL,,,,
7,49,,,Albert Okwuegbunam,DEN,,,,
7,50,,,Jeremy Sprinkle,WAS,,,,
7,51,,,Foster Moreau,LV,,,,
7,52,,,Drew Sample,CIN,,,,
7,53,,,Dalton Keene,NE,,,,
7,54,,,Kaden Smith,NYG,,,,
7,55,,,Brycen Hopkins,LAR,,,,
7,56,,,Dan Arnold,ARI,,,,
7,57,,,Hunter Bryant,DET,,,,
7,58,,,Jordan Reed,FA,,,,
7,59,,,Matt LaCosse,NE,,,,
7,60,,,Thaddeus Moss,WAS,,,,
7,61,,,Jaeden Graham,ATL,,,,
8,62,,,Mo Alie-Cox,IND,,,,
8,63,,,Ricky Seals-Jones,KC,,,,
